firstname,rightname,first_location,second_location,third_location,phone,link
rororecycling GmbH,Top Partner,Recycling,"Rudolf‑Zeitler‑Weg 1,",82275 Emmering,08141 5 36 83 12,http://www.rororecycling.eu
RWR REMONDIS Wertstoff-Recycling GmbH & Co. KG,Top Partner,Recycling,"Kirschbaumweg 8,",50996 Köln,0221 97 06 00,http://www.remondis-rheinland.de
RWR REMONDIS Wertstoff-Recycling GmbH & Co. KG,Top Partner,Recycling,"Rönsahler Straße 10,",51069 Köln,0221 9 77 79 50,http://www.r-w-r.de
RWR REMONDIS Wertstoff-Recycling GmbH & Co. KG,Top Partner,Recycling,"Siegburger Straße 116,",50679 Köln,0221 59 96 80,http://www.r-w-r.de
ScheZe GmbH,Top Partner,Recycling,"Kißlingweg 62,",75417 Mühlacker,07041 81 10 33 30,http://www.scheze.de
Schief Entsorgungs GmbH Papierrecycling Containerdienst,Top Partner,Recycling,"Daimlerstr. 14,",71364 Winnenden,07195 91 10-0,
Schlackenaufbereitung GmbH & Co. KG,Top Partner,Recycling,"Provinzialstr. 166,",66787 Wadgassen,06834 4 10 44,
Schmeißer Werner GmbH & Co. KG,Top Partner,Recycling,"Am Bauhof 13,",64807 Dieburg,06071 82 38 89,
Schneemann Recycling GmbH,Top Partner,Recycling,"Schöneberger Str. 16,",37115 Duderstadt,05527 98 55-0,http://www.schneemann-recycling.de
Scholz Recycling GmbH,Top Partner,Recycling,"Zschortauer Str. 68,",04129 Leipzig,0341 5 66 44 44,http://www.scholz-recycling.de
Seeboth & Sohn,Top Partner,Recycling,"Industriestr. 23,",99974 Mühlhausen/Thüringen,03601 46 02-0,http://www.seeboth-sohn.com
Seik Automobil Recycling GmbH,Top Partner,Recycling,"Grenzstr. 43,",06112 Halle,0345 5 60 46 66,http://www.seik.de
Siegrist GmbH Logistikunternehmen,Top Partner,Recycling,"Lanzstr. 29,",68789 St. Leon‑Rot,06227 5 36 10,http://www.siegrist-gmbh.de
SMS Sondermüll Sanierung GmbH Rohrsanierung,Top Partner,Recycling,"F.‑O.‑Schimmel‑Str. 15A,",09120 Chemnitz,0371 5 38 10 50,
SORTcycle GmbH,Top Partner,Recycling,"In den Dauen 6A,",53117 Bonn,0228 94 37 73,http://www.sortcycle.de
Spreerecycling GmbH & Co. KG,Top Partner,Recycling,"An der Heide 9,",03130 Spremberg,03564 37 82 82 01,http://www.spreerecycling.com
Stadtlohner Recycling GmbH,Top Partner,Recycling,"Vredener Str. 230,",48703 Stadtlohn,02563 93 14-0,http://www.stadtlohner-recycling.de
STENA Technoworld GmbH EDV-Recycling,Top Partner,Recycling,"Langenhorner Chaussee 40,",22335 Hamburg,040 28 00 67-0,
STENA Technoworld GmbH EDV-Recycling,Top Partner,Recycling,"Wittislinger Str. 7,",89415 Lauingen,09072 9 53 80-0,
Strauch Recycling GmbH,Top Partner,Recycling,"Karl‑Eidmann‑Str. 2,",63486 Bruchköbel,06181 9 45 47 47,
Südpf. Bauschutt Recycling-Landau GmbH & Co KG,Top Partner,Recycling,"Am Hölzel,",76829 Landau in der Pfalz,06341 5 13 85,
SULO Deutschland GmbH,Top Partner,Recycling,"Bünder Str. 85,",32051 Herford,05221 5 98-01,http://www.sulo.com
SVI Gesellschaft zur Schlackenverwertung Illingen mbH,Top Partner,Recycling,"Gymnasialstr. 140,",66557 Illingen,06825 49 64 96,
TDE - Recycling GmbH,Top Partner,Recycling,"Im Vorwerk 22,",36456 Barchfeld‑Immelborn,036961 4 60 16,http://www.tde-recycling.de
TEPRO Kunstoff-Recycling GmbH & Co. KG,Top Partner,Recycling,"Industriestr. 17,",29389 Bad Bodenteich,05824 96 36-0,
TEPRO Kunststoff-Recycling GmbH & Co. KG Herstellung von Kunststoffbalken und Brettern,Top Partner,Recycling,"Industriestr. 17,",29389 Bad Bodenteich,05824 96 36 24,
TERRAG GmbH,Top Partner,Recycling,"Bexbacher Str. 53,",66424 Homburg,06841 98 49 50,
TERRATEC Bodensanierung GmbH,Top Partner,Recycling,"Nenniger Str. 4,",66706 Perl,06867 9 30 40,
Theco Thesing GmbH & Co. KG,Top Partner,Recycling,"Erlenweg 127,",48653 Coesfeld,02541 9 66 99 74,http://www.theco-recycling.de
Theis Produktion GmbH & Co. KG,Top Partner,Recycling,"Weißenthurmer Str. 1,",56626 Andernach,02632 4 97 60,
Tieser GmbH Recyclingtechnik,Top Partner,Recycling,"Zum Flugplatz 8,",86551 Aichach,08251 8 98 18-0,
TKM Materialveredelung GmbH,Top Partner,Recycling,"In den Waldstücken 6,",76829 Landau in der Pfalz,06341 5 20 10,
Trägerverein Planung u. Technik Schwerin e.V.,Top Partner,Recycling,"Ludwigsluster Chaussee 53,",19061 Schwerin,0385 39 51 40,
Trennert Olaf,Top Partner,Recycling,"Alte Dorfstr. 8,",04838 Jesewitz,034241 5 14 28,http://www.trennert.com
Trimpe Rohstoff-Recycling GmbH,Top Partner,Recycling,"Zur Mark 13,",49393 Lohne (Oldenburg),04442 92 52-0,http://www.omeb.de
TSR Recycling GmbH & Co.KG,Top Partner,Recycling,"Am Zweigkanal 19,",39126 Magdeburg,0391 5 09 07-0,http://www.tsr.eu
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Ochshäuser Str. 6,",34123 Kassel,0561 5 40 51,
TSR Recycling GmbH & Co. KG,Top Partner,Recycling,"Waterbergstr. 6,",28237 Bremen,0421 6 49 03-0,http://www.tsr.eu
TVF ALTWERT GmbH Abbruchbetrieb,Top Partner,Recycling,"Unteres Rheinufer 16,",67061 Ludwigshafen am Rhein,0621 5 79 53-0,http://www.tvf-altwert.de
UP International GmbH,Top Partner,Recycling,"Rengsdorfer Str. 2,",53577 Neustadt (Wied),02683 96 90,
Urbanminers GmbH,Top Partner,Recycling,"Steinmühlenweg 16,",65439 Flörsheim am Main,06145 5 49 68 84,
UTM Umwelt-Technik-Metallrecycling GmbH,Top Partner,Recycling,"Alt‑Herrenwyk 12,",23569 Lübeck,0451 3 02 09 40,
Vanni + Didicher Recycling,Top Partner,Recycling,"Klumpensee 8,",75177 Pforzheim,07231 1 54 05-0,http://www.vd-recycling.de
Vecoplan AG,Top Partner,Recycling,"Vor der Bitz 10,",56470 Bad Marienberg (Westerwald),02661 6 26 70,
Wandaa GmbH Betriebsstätte,Top Partner,Recycling,"Willy‑Messerschmitt‑Str. 6,",50126 Bergheim,02271 7 59 21 11,
Wendit GmbH,Top Partner,Recycling,"Königswiesenweg 29,",93051 Regensburg,0941 4 66 63 44,http://www.wenditgroup.com
Wilm Entsorgung-Recycling GmbH,Top Partner,Recycling,"Gewerbering 13+15,",84405 Dorfen,08081 21 16,http://www.wilm-gmbh.de
WIPAG Nord GmbH & Co.KG,Top Partner,Recycling,"Buschstückenstr. 20,",39638 Gardelegen,03907 7 75 92-0,http://www.wipag.de
WKR Altkunststoffproduktions- und -vertriebsgesellschaft mbH,Top Partner,Recycling,"Entenpfuhl 10,",67547 Worms,06241 4 34 51,
WRC World Resources Company GmbH,Top Partner,Recycling,"Industriestr. 7,",04808 Wurzen,03425 90 46-0,http://www.wrcwurzen.de
WSG Wulsbütteler Sandgesellschaft mbH,Top Partner,Recycling,"Rosenheimer Str. 10,",28219 Bremen,0421 3 30 73 93,http://www.wsg-sand.de
ZAS Zweckverband Abfallverwertung Südhessen,Top Partner,Recycling,"Frankfurter Str. 100,",64293 Darmstadt,06151 7 01 40 91,
Zimmer Katalysatoren-Recycling GmbH & Co. KG,Top Partner,Recycling,"Alleestr. 8,",50354 Hürth,02233 80 80 10,
ZIREC Kabelaufbereitungs-GmbH,Top Partner,Recycling,"Werner‑von‑Siemens‑Str. 1‑5,",64625 Bensheim,06251 1 00 30,
Aktenvernichtung,Top Partner,Recycling,,,0431 2 09 77-60,
Klamberg Karl e.K.,Top Partner,Recycling,"Im Höfchen,",35685 Dillenburg,0151 20 59 39 42,
Recycling,Top Partner,Recycling,,,0431 2 09 77-10,
Schrott,Top Partner,Recycling,,,0431 2 09 77-40,
Verpackungsstoffe,Top Partner,Recycling,,,0431 2 09 77-50,
Abfallwirtschaft Südholstein GmbH,Top Partner,Recycling,"Lise‑Meitner‑Str. 11,",22941 Bargteheide,0800  2 97 40 01,
ACD-Altpapierverwertung und Containerdienst GmbH,Top Partner,Recycling,"Industriestr. 39,",46499 Hamminkeln,,
ACD-Altpapierverwertung und Containerdienst GmbH,Top Partner,Recycling,"Industriestr. 39,",46499 Hamminkeln,02852 23 33,
ACHT GmbH,Top Partner,Recycling,"Hovestr. 31‑33,",20539 Hamburg,040 78 87 62 99-0,
Agethen Stefan Aufbereitungstechnik,Top Partner,Recycling,"Benzstr. 7,",41462 Neuss,02131 3 66 17 18,
Agro - Drisa GmbH,Top Partner,Recycling,"Zeppelinstr. 1,",12529 Schönefeld,030 63 31 17 31,http://www.agro-drisa.de
ALBA Baustoffrecycling Nord GmbH NL Schwerin Entsorgungsbetrieb Baustoffrecycling,Top Partner,Recycling,"Zeppelinstr. 20,",19061 Schwerin,0385 6 44 54 10,
ALBA Electronics Recycling GmbH,Top Partner,Recycling,"Waldstr. 130,",67363 Lustadt,06347 9 72 70,
ALBA Ferrous Trading GmbH,Top Partner,Recycling,"Tibarg 18,",22459 Hamburg,040 79 71 40-0,
Alba Oschatz GmbH,Top Partner,Recycling,"Theodor‑Körner‑Str. 8,",04758 Oschatz,03435 66 09 67,http://www.alba-oschatz.de
ALBA TAV Betriebs GmbH,Top Partner,Recycling,"Am Alten Flugplatz 1,",19288 Ludwigslust,03874 25 07-0,
Alunova GmbH,Top Partner,Recycling,"Rotfluhstr. 18,",79713 Bad Säckingen,07761 9 29 70-30,http://www.alunova-recycling.de
Andomet GmbH & Co. KG,Top Partner,Recycling,"Wiener Str. 3,",94315 Straubing,09421 3 10 33-0,
ANDRITZ MeWa GmbH,Top Partner,Recycling,"Herdweg 4,",75391 Gechingen,07056 9 25-0,https://www.bio-qz.de
AREG mbH,Top Partner,Recycling,"Pointenstr. 2A,",94209 Regen,09921 97 13 44,
ARG Abfall-Recycling-Geselleschaft mbH Recycling,Top Partner,Recycling,"Thyssenstr. 123,",46535 Dinslaken,02064 79 11 11,
ARG Abfall-Recycling-Gesellschaft mbH Recycling,Top Partner,Recycling,"Thyssenstr. 123,",46535 Dinslaken,02064 73 11 11,
ARTECC GmbH,Top Partner,Recycling,"Im Loh 35,",73434 Aalen,07366 92 44 68,
Audax Recycling,Top Partner,Recycling,"Am Dalmannkai 8,",20457 Hamburg,040 76 75 89 98,
AWG Abfallwirtschafts-Ges.,Top Partner,Recycling,"Florianstr. 9A,",94536 Eppenschlag,09928 9 03 54 68,
AZ Service Autorecycling,Top Partner,Recycling,"Glashüttenstr. 59,",40627 Düsseldorf,0211 2 60 79 94,
BAREG Recycling und Entsorgung GmbH & Co. KG,Top Partner,Recycling,"Max‑Immelmann‑Allee 8,",79427 Eschbach,07634 69 59 56,http://www.bareg.de
BAREG Recycling und Entsorgung GmbH & Co. KG Abfallentsorgung,Top Partner,Recycling,"Am Dachsrain 2,",79312 Emmendingen,07641 95 99 29-50,http://www.bareg.de
Baufeld Oel GmbH,Top Partner,Recycling,"Auf der Trift 1,",66127 Saarbrücken,06898 3 28 68,
Bauhof,Top Partner,Recycling,"Hirschbergstr. 4,",83703 Gmund,08022 70 59 92,http://www.gmund.de
Baustoff Aufbereitung Frankfurt (Oder) GmbH,Top Partner,Recycling,,15236 Frankfurt (Oder),0335 5 00 49 95,
Baustoffrecycling Wyhlen GmbH,Top Partner,Recycling,"Südstr. 1,",79639 Grenzach‑Wyhlen,07624 85 71,http://www.baustoff-Wyhlen.de
Bavaria Chemie Handels GmbH,Top Partner,Recycling,"Münchener Str. 29,",83527 Haag,08072 37 00 69-0,http://www.bavchem-shop.de
BBM Recycling Logistik GmbH,Top Partner,Recycling,"Wilhelm‑Röntgen‑Viertel 3,",66740 Saarlouis,0172 6 16 02 02,
BBR Baurec Baustoff Recycling GmbH & Co. KG,Top Partner,Recycling,"Am Atlaswerk 20,",33106 Paderborn,05251 8 79 70 37,http://www.heiga.de
BCS Biorecycling & Containerservice GmbH,Top Partner,Recycling,"Am Sättel 15,",98553 Schleusingen,036841 4 28 75,http://bcs-baulogistik.de
Beos-Polymer GmbH,Top Partner,Recycling,"Markritz 1A,",04720 Döbeln,034325 2 29 04,http://www.beos-polymer.de
Bexbacher Buntmetallverwertung GmbH,Top Partner,Recycling,"Obere Hochstr. 161,",66450 Bexbach,06826 9 61 58 00,
Böhme Thomas Inter Recycling GmbH,Top Partner,Recycling,"Gachenweg 16,",83088 Kiefersfelden,08033 3 08 15 32,http://www.interrecycling.de
Böhmke GmbH Kunststoff-Recycling,Top Partner,Recycling,"Kirchhofstr. 15,",42327 Wuppertal,0202 6 95 46-0,
BORAG Bodenrecycling Allgäu GmbH,Top Partner,Recycling,"Röntgenring 15,",87616 Marktoberdorf,08342 96 53-0,
BOWESA GmbH,Top Partner,Recycling,"Bexbacher Str. 63,",66424 Homburg,06841 96 70,
BR-Rohstoff GmbH & Co. KG,Top Partner,Recycling,"Am Brand 1,",96279 Weidhausen,09562 50 24 22-0,
BRB Baustoffe Recycling Berlin GmbH Recycling,Top Partner,Recycling,"Kiefholzstr. 389,",12435 Berlin,030 9 82 40 21,http://www.brb-baustoffe.de
BRS Bioenergie GmbH,Top Partner,Recycling,"Auf der Steig 12,",78052 Villingen‑Schwenningen,07721 92 82-0,
BRV Baustoff-Recycling und Vertriebs GmbH,Top Partner,Recycling,"Otto‑Hahn‑Str. 8,",29664 Walsrode,0172 5 10 63 49,
BW-Recycling,Top Partner,Recycling,"Justus‑Liebig‑Str. 6,",61273 Wehrheim,0151 21 72 95 00,
BWG Baustoff-Wiederaufbereitungs GmbH & Co KG,Top Partner,Recycling,"Entenhof 117,",76547 Sinzheim,07221 84 77,http://www.bwg-recycling.de
C.A.R. FiberTec GmbH,Top Partner,Recycling,"Julius‑Leber‑Weg 35,",21684 Stade,04141 7 78 87 88,http://www.car-fibertec.de
Carnuth KG Metallrecycling,Top Partner,Recycling,"Industriestr. 16,",94327 Bogen,09422 85 03-0,
Chemnitzer Umschlag- und Transport- GmbH,Top Partner,Recycling,"Am Richterweg 10,",09518 Großrückerswalde,03735 91 20-0,
Chrissomallis K.,Top Partner,Recycling,"Fuhrtstr. 999,",52152 Simmerath,02473 33 65,
Christian Reichardt Bauschuttrecycling,Top Partner,Recycling,"Ruhrstr. 11a,",86633 Neuburg,08431 4 95 02,https://www.reichardt-recycling.de
CK Recycling GmbH,Top Partner,Recycling,"Zunftweg 10,",50354 Hürth,02233 9 96 00-0,
Comfort-Trading,Top Partner,Recycling,"Im Gohl 2,",56751 Polch,02654 96 40 33,
COMP-ANY GmbH,Top Partner,Recycling,"Graf‑Seinsheim‑Str. 16,",85461 Bockhorn,0173 3 65 17 43,http://www.comp-any.com
Container Abfuhr AUA Allgemeine Unrat-Abfuhr GmbH & Co. KG Containerdienst und Recycling,Top Partner,Recycling,"Liebigstr. 64,",22113 Hamburg,0800  1 21 31 60,
CreaCycle GmbH,Top Partner,Recycling,"Auf der Artwick 74,",41515 Grevenbroich,02181 28 88 06-0,
"Dallmann GmbH, H.",Top Partner,Recycling,"Vördener Str. 70,",49565 Bramsche,05468 63 06,http://www.dallmann-bau.de
DB INNOVATIVE WERKSTOFFE GMBH,Top Partner,Recycling,"Hofer Heide 10,",42549 Velbert,02051 8 07 59-0,
Degenkolbe Recycling GmbH,Top Partner,Recycling,"Neckartalstr. 225,",70376 Stuttgart,0711 9 54 53-0,
Der Grüne Punkt - Duales System Deutschland GmbH Recycling,Top Partner,Recycling,"Markgrafenstr. 22,",10117 Berlin,030 43 00 00-0,http://www.gruener-punkt.de
DERICHEBOURG Umwelt GmbH,Top Partner,Recycling,"Klosterstr. 22,",40211 Düsseldorf,0211 1 64 11 44,
Dettendorfer Wertstoff GmbH & Co.KG,Top Partner,Recycling,"Linden 2,",83109 Großkarolinenfeld,08067 90 45-0,http://www.dettendorfer-wertstoff.de
DHS GmbH,Top Partner,Recycling,"Zum Sägewerk 153,",33378 Rheda‑Wiedenbrück,05242 4 08 08-8,http://www.d-h-s-gmbh.de
Die TipTopBOX,Top Partner,Recycling,"Gollierstr. 70A,",80339 München,089 1 21 09 84 43,http://www.tiptopbox.de
Die TipTopBOX,Top Partner,Recycling,"Stahgruberring 8,",81829 München,089 1 21 09 84 43,http://www.tiptopbox.de
Dieter Adolf Rahardt Wertstoffverkauf,Top Partner,Recycling,"An der Schaaftrift 10,",21357 Bardowick,04131 12 11 16,http://www.kdh-rahardt.de
Dietz Recycling GmbH,Top Partner,Recycling,"Im Seelenkamp 26,",32791 Lage,05232 9 51 07-0,http://www.reyennd.de
Dohmann Textilverwertung GmbH,Top Partner,Recycling,"Liebigstr. 8,",06766 Bitterfeld‑Wolfen,03494 66 98 90,http://www.dohmann-textilverwertung.de
Dollegoor GmbH,Top Partner,Recycling,"Vosmatenweg 6B,",49824 Laar,05947 91 12 01,http://www.dollegoor.de/
Donfack Bernard,Top Partner,Recycling,"Sophie‑Charlotten‑Str. 1,",14059 Berlin,0176 21 81 74 37,
Drin GmbH,Top Partner,Recycling,"Werner‑Metzen‑Str. 3,",07580 Großenstein,036602 2 21 63,http://www.drin-gmbh.de
DTRW GmbH,Top Partner,Recycling,"Ringstr. 20,",35099 Burgwald,06451 40 82 60,
Duesmann Recycling GmbH & Co. KG,Top Partner,Recycling,"Südfelde 17,",48480 Spelle,05977 20 40-0,http://www.duerec.com
DWR Deutsche Gesellschaft für Weißblechrecycling mbH,Top Partner,Recycling,"Graf‑Adolf‑Str. 20,",40212 Düsseldorf,0211 31 06 29-0,
East-West Textilrecycling Kursun GmbH,Top Partner,Recycling,"Rügkamper Weg 1A,",23992 Zurow,038422 2 07 17,
EBS Concept GmbH,Top Partner,Recycling,"Stadtstr. 20,",25348 Glückstadt,04124 98 05 07-0,
Eccaro GmbH & Co. KG,Top Partner,Recycling,"Fritz‑Reuter‑Str. 15B,",18190 Sanitz,038209 84 88 34,http://www.eccaro.de
Eco-Care Recycling Solutions GmbH,Top Partner,Recycling,"Bruchfeld 33,",47809 Krefeld,02151 58 22 10,
ecofrog GmbH,Top Partner,Recycling,"Dornierstr. 2,",68804 Altlußheim,06205 2 04 82-0,https://www.ecofrog.eu
EcoTec GmbH,Top Partner,Recycling,"Kimplerstr. 326A,",47807 Krefeld,02151 9 37 86 80,
Eichhorn Kompost GmbH,Top Partner,Recycling,"Rheinstr. 4b,",96052 Bamberg,0951 29 95 28-0,
Eisen u. Stein GmbH Horn & Co.,Top Partner,Recycling,"Gerhard‑Lucas‑Meyer‑Str. 10,",31226 Peine,05171 5 08 99 36,http://www.horn-co.de
EKOMETAL RECYCLING GmbH,Top Partner,Recycling,,21109 Hamburg,040 75 06 29 27,
EPT UG Palettenrecycling,Top Partner,Recycling,"Bauernstr. 22A,",86462 Langweid,08230 8 53 22 63,
ERLOS GmbH Europa- Recycling- u. Logistik-Systeme,Top Partner,Recycling,"Reichenbacher Str. 67,",08056 Zwickau,0375 30 35 34 00,
EuRec Environmental Technology,Top Partner,Recycling,"Borntalstr. 9,",36460 Krayenberggemeinde,036969 58-0,http://www.eurec-technology.com
Exakt Fensterrecycling GmbH,Top Partner,Recycling,"Marzahner Str. 21,",13053 Berlin,030 28 38 43 80,http://www.exakt-berlin.de/
Fachbetrieb für Recycling,Top Partner,Recycling,"Gutenbergstr. 9,",85748 Garching,089 32 67 47-0,http://www.muenchner-recycling.com
Fahrenzhausen,Top Partner,Recycling,"Hauptstr. 21,",85777 Fahrenzhausen,08133 93 02-0,http://www.fahrenzhausen.de
farmco GmbH,Top Partner,Recycling,"Dieselstr. 2,",47608 Geldern,02831 51 64,
Fehr Umwelt Ost GmbH Betriebsstätte Zappendorf,Top Partner,Recycling,"Am Schauchenberg 5A,",06198 Salzatal,034601 3 92-49,http://www.fehr.de
FEHR Umwelt- u. Verfahrenstechnik GmbH,Top Partner,Recycling,"Albert‑Einstein‑Str. 7,",34582 Borken (Hessen),05682 7 08 40,
Fidi GmbH Recycling,Top Partner,Recycling,"Bäckerstr. 9,",21244 Buchholz in der Nordheide,04181 9 23 03,
FISCHER Weilheim GmbH Recyclingcenter Magstadt,Top Partner,Recycling,"Schafhauser Str. 90,",71106 Magstadt,07159 4 05 97-0,
FLAXRES GmbH,Top Partner,Recycling,"Blumenstr. 80,",01307 Dresden,0351 44 67 77 17,
Foamtrans GmbH & Co. KG,Top Partner,Recycling,"Obernstr. 155,",28832 Achim,04202 5 23 22-0,http://www.foamtrans.com
Fresitec GmbH,Top Partner,Recycling,"Alfred‑Lange‑Str. 18,",09599 Freiberg,03731 4 19 37-4,
G &. K Recycling,Top Partner,Recycling,"Gewerbepark 4,",07407 Rudolstadt,036744 3 41-0,http://www.recycling-utsch.de
GAB gGesell. für Arbeits- und Berufsförd. Hochsauerland mbH,Top Partner,Recycling,"Wehrstapeler Str. 24,",59872 Meschede,0291 8 24 63,
gabco Kompostierung GmbH,Top Partner,Recycling,"Werner‑von‑Siemens‑Str. 21,",52477 Alsdorf,02404 6 77 53-0,
Gamma-Service Recycling GmbH,Top Partner,Recycling,"Juri‑Gagarin‑Str. 31,",01454 Radeberg,03528 41 58 87,
GAR Gesellschaft für Abfall u. Recycling mbH & Co. KG,Top Partner,Recycling,"Kätinger Heide 26,",27211 Bassum,04249 93 04-0,http://www.gar-gmbh.de
Gebr. Huber Bodenrecycling GmbH,Top Partner,Recycling,"Kiefernstr. 6,",82061 Neuried,089 74 50 63-0,http://www.gebrueder-huber.de
Gemeinde Fischbachau,Top Partner,Recycling,"Kirchplatz 10,",83730 Fischbachau,08028 90 66-0,http://www.fischbachau.de
"Gemeinde Obing, Wertstoffhof",Top Partner,Recycling,"Lohenfeld 13,",83119 Obing,08624 46 36,http://www.obing.de
Gemeindeverwaltung Prutting,Top Partner,Recycling,"Kirchstr. 3,",83134 Prutting,08036 30 73-0,http://www.prutting.de
Genan GmbH,Top Partner,Recycling,"Im Gewerbepark Unterallgäu 1,",87754 Kammlach,08261 73 69-0,
Gesellschaft für PapierRecycling GesPaRec GmbH,Top Partner,Recycling,"Adenauerallee 55,",53113 Bonn,0228 9 15 27-00,
Geweniger Recycling GmbH,Top Partner,Recycling,"Brunnenstr. 3B,",04600 Altenburg,03447 31 61 39,http://www.geweniger-recycling.de
GFR Gesellschaft für Recycling,Top Partner,Recycling,"Siebenstücken 10,",24558 Henstedt‑Ulzburg,0173 6 46 98 21,
GG Materialbearbeitung Kunststoffrecycling,Top Partner,Recycling,"Am Korreshof 15,",40822 Mettmann,02104 7 97 54 70,
Glasrecycling Nord GmbH & Co. KG,Top Partner,Recycling,"Holsteinstr. 22,",23812 Wahlstedt,04554 20 01,
GmbH Firma Terracontrol Stefan Ketterer,Top Partner,Recycling,"Hermann‑Löns‑Weg 32,",69118 Heidelberg,06221 89 54 25,http://www.terracontrol.eu
GMH Recycling GmbH,Top Partner,Recycling,"Mindener Str. 158a,",49084 Osnabrück,0541 7 71 07,http://www.gmh-recycling.de
Göke Rohstoffverwertung GmbH,Top Partner,Recycling,"Winchenbachstr. 17,",42281 Wuppertal,0202 2 50 90-0,
Gottwald & Sohn GmbH,Top Partner,Recycling,"Alpenstr. 43,",87700 Memmingen,08331 44 02,
Grafit Verwertung Richard Anton KG,Top Partner,Recycling,"Mühlenstr. 5,",68169 Mannheim,0621 3 22 99-0,http://www.richard-anton.de
Gruber Recycling GmbH,Top Partner,Recycling,"Gustav‑Schreier‑Str. 51,",90584 Allersberg,09174 48 90 10,
Güstrower Rohstoffrecycling und Containerdienst GmbH,Top Partner,Recycling,"Plauer Str. 67,",18273 Güstrow,03843 21 41 66,
GWM & Trading Limited,Top Partner,Recycling,"Wartenburger Str. 84,",06901 Kemberg,034927 75 26 30,http://www.gwm-trading.com
